"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"41","19-11163",59.4,82.3,128.4,38.6,0.5,7.8,522.3,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[tall]; YTUrb22[Lodg]",30.94
"42","19-11770",59.8,85.2,131.8,37,0.5,6.8,519.8,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[septoria]; YTNeo22[septoria]; YTUrb22[Tall]",35.87
"43","19-11773",60,83.2,130.9,38.8,0.8,14.6,503.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[septoria, ve]; YTNeo22[sept]; YTUrb22[Leaning]",32.84
"44","19-12420",60,81.7,130.3,38.2,0.7,9.3,503.2,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[septoria, rust]; YTUrb22[Tall]",32.01
"45","19-12615",59.4,84.9,130.8,39.2,0.9,12.5,514.1,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTStp22[Tall]; YTUrb22[Lodg]; YTUrb22[Leaning]",33.91
"46","19-12659",59,81.7,128.6,38.8,0.7,9,513.4,"PrStj21[maturity:VE obs:bright, nice appearance]; PrUrb21[exclude_plot:true, rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[ve, septoria]; YTNeo22[sept]; YTUrb22[Leaning]",33.19
"47","19-12830",59.7,85.4,131,39.4,0.8,14.7,514.7,"PrUrb21[rust:MrMs]; PrUrb21[rust:R]; YTNeo22[tall]; YTNeo22[tall]; YTUrb22[Lodging]; YTUrb22[Tall]",29.44
"48","19-12849",59.8,79.4,130.9,37.7,1.3,12.1,475.9,"PrStj21[obs:nice appearance]; PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[leaning]; YTNeo22[lodging, ve]; YTUrb22[Lodging]; YTUrb22[Leaning]",29.39
"49","19-12926",59,83.4,129.9,37.6,0.9,11.4,510.7,"PrStj21[maturity:E]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[ve]; YTNeo22[ve, clean]",32.69
"50","19-13048",58,80.6,130.3,37.8,0.5,9.1,501,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[septoria]; YTUrb22[Tall]; YTUrb22[Tall]",31.31
