"","germplasmName","Lex_22","War_22","Add_22","Msn_22","Urb_21","Neo_21","Blk_22","Stj_21","Blv_22","Stp_22","Neo_22","Urb_22","AvgYld"
"158","19-8871",73.07,76.14,74.92,85.67,85.91,85.15,89.84,90.08,95.48,96.93,102.27,102.24,88.1416666666667
"159","19-8909",61.44,71.21,70.11,71.48,81.75,83,83.89,86.73,87.88,93.55,97.9,101.12,82.505
"160","19-9608",66.91,75.93,73.47,79.22,83.26,83.3,82.33,88.4,89.63,92.84,98.01,101.07,84.5308333333333
"161","Kaskaskia",41.77,65,62.67,46.16,77.16,76.75,81.17,74.21,87.14,92.91,92.3,99.82,74.755
"162","Pio 25R74",84.81,79.61,78.08,104.1,90.54,86.03,89.49,95.07,101.17,97.43,106.57,103.4,93.025
"163","US16-IL-061-032",63.98,55.24,73.6,61.83,83.36,84.73,80.93,86.88,85.69,96.31,98.71,101.83,81.0908333333333
"164","US16-IL-061-068",68.98,63.96,74.9,75.52,83.93,84.46,80.98,87.93,93.25,93.02,98.82,99.67,83.785
"165","US16-IL-063-026",63.94,77.04,70.97,66.04,83.67,85.15,86.95,87.19,89.83,96.82,99.76,102.36,84.1433333333333
"166","US16-IL-063-063",72.97,74.11,74.22,93.85,86.37,86.87,91.53,90.81,96.17,98.98,102.74,104.42,89.42
"167","US17-IL-108-039",70.92,79.94,73.22,64.07,86.8,87.86,93.21,91.06,89.17,101.21,104.07,107.89,87.4516666666667
"168","US17-IL-108-067-3",63.39,60.81,71.71,73.47,83.09,85.77,83.55,88.47,83.19,96.04,97.58,101.72,82.3991666666667
"169","US17-IL-108-070",73.28,87,75.18,79.31,85.73,85.96,91.29,90.17,80.72,95.24,102.13,101.59,87.3
"170","US17-IL-111-005",69.66,61.42,74.52,88.76,84.54,85.13,85.35,88.62,96.16,94.78,101.07,100.64,85.8875
"171","US17-IL-111-006",71.32,60.79,74.48,89.04,84.92,85.29,84.04,89.16,96.59,96.8,102.15,99.52,86.175
