"","pvals.Line.Name","pvals.predicted.value","pvals.std.error","pvals.status","avsed","trait","study"
"38","US17-IL-108-070",151.969138243954,0.318554901250136,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"39","US17-IL-111-005",148.006480371271,0.316649805890464,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"40","US17-IL-111-006",147.486880648092,0.319694451513973,"Estimable",0.450911230777935,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Msn_22"
"41","07-19334",93.1633890180519,11.5378863959738,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"42","17-8930",92.2497886682486,11.535594284128,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"43","18-12001",93.2756973446216,11.5369527238144,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"44","18-12756",86.5140443163514,11.5530500662212,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"45","18-12809",38.5888509945104,11.5512530081399,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"46","18-13748",93.2574972700402,11.5382334540175,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"47","18-13756",51.0153074579207,11.5543244680162,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"48","18-13765",88.5729605789839,11.5725748440022,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"49","18-13852",77.3415181330312,11.5841088234558,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"50","18-13965",95.5949012796061,11.5220436729429,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"51","18-14535",93.5662071078117,11.5690396338342,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"52","18-15372",53.9522203812939,11.5238660352521,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"53","18-16828",72.4091162702464,11.5578371888615,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"54","18-17119",65.5140910771201,11.5546097309277,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"55","18-17905",96.2495935821483,11.537960219031,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"56","18-22132",88.0005221551611,11.5843697170167,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"57","18-22767",62.4864640700227,11.5425348570582,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"58","18-22976",73.8962425159972,11.5510325124906,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"59","18-23224",51.4218987049232,11.5660102382149,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"60","18-23760",84.9878611665933,11.5501748941887,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"61","18-26037",72.0893739247256,11.5675598589668,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"62","18-4910",89.5971401313144,11.5397321961576,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"63","18-5737",83.2023506889779,11.563385956987,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"64","18-5837",95.809468402347,11.5381918355187,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"65","18-6274",100.077148036126,11.536214494747,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"66","18-6852",76.4311311442019,11.5367330978529,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"67","18-7928",46.9364225817052,11.5375401034755,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"68","18-7943",80.5499200923356,11.567627956189,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"69","18-842",108.921336445184,11.5221738573888,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"70","18-9724",41.5942498593284,11.5670768130457,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"71","18MSFRS-18",112.334011853608,11.5550494240694,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"72","Pio 25R74",107.402721628271,11.5529274384505,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"73","US16-IL-061-032",50.5994228474221,11.5083643396919,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"74","US16-IL-061-068",69.1146664453343,11.5545239868178,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"75","US16-IL-063-026",59.3748581987777,11.5398828563211,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"76","US16-IL-063-063",102.748825243491,11.5523166614156,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"77","US17-IL-108-039",50.2995734958181,11.5545106333852,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"78","US17-IL-108-070",72.7978336983517,11.5843849758604,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"79","US17-IL-111-005",94.6919912136373,11.5361971892726,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"80","US17-IL-111-006",93.1448923245027,11.5643336507047,"Estimable",16.3272540639543,"Grain.yield...bu.ac","YT_Msn_22"
"81","07-19334",61.4589468585594,9.58903656793116,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"82","17-8930",59.5492498494395,9.58903774634122,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"83","18-12001",61.9646686804067,9.58901907089393,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"84","18-12756",61.6121055093336,9.58900076485332,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"85","18-12809",30.2468437889285,9.58974835987552,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"86","18-13748",62.6720813578438,9.58901844208403,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"87","18-13756",31.1072886417009,9.58974808034333,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"88","18-13765",61.2267886932091,9.58900071178533,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"89","18-13852",59.9866948710187,9.58974908051309,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"90","18-13965",62.3853003051025,9.58971575350393,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"91","18-14535",60.3743460556047,9.58974871318256,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"92","18-15372",61.0276026205052,9.58971574417895,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"93","18-16828",61.7976833986172,9.58900059171617,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"94","18-17119",60.2509658173107,9.58901914318028,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"95","18-17905",60.7198774242085,9.58901854344829,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"96","18-22132",61.4861260784942,9.58974930708006,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"97","18-22767",59.8554219502906,9.5889998253232,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"98","18-22976",60.5291444423185,9.58976641287511,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"99","18-23224",61.3852412672567,9.58974861044385,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"100","18-23760",61.9524603534689,9.58901934146884,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
"101","18-26037",61.3086351557109,9.58974860768877,"Estimable",13.5535149794734,"Grain.test.weight...lbs.bu","YT_Msn_22"
