p1,p2,crossN,reciprocalNm,netMerit,cross,reciprocal,Grain.test.weight...lbs.bu,Grain.yield...bu.ac,Heading.time...Julian.date..JD..,Plant.height.inches,FHB.DON.content...ppm.,FHB.grain.incidence.....,select,rank,relValue
11,30,11 x 30,30 x 11,508.2,2020-6148 x US17-IL-111-005,US17-IL-111-005 x 2020-6148,58,83.3,131.5,37.8,0.9,0,0,449,99
21,31,21 x 31,31 x 21,506.1,19-6704 x US16-IL-063-063,US16-IL-063-063 x 19-6704,57.5,83.3,130.6,35.8,0.9,0,0,485,99
3,29,3 x 29,29 x 3,506,IL16LCSDH-09-T-2664-20 x US17-IL-111-006,US17-IL-111-006 x IL16LCSDH-09-T-2664-20,59.1,83.3,131.8,35.9,1,0,0,486,99
14,21,14 x 21,21 x 14,505.5,2020-2010 x 19-6704,19-6704 x 2020-2010,57.4,83.3,130.9,36.4,0.7,0,0,496,99
17,29,17 x 29,29 x 17,505.1,2020-16738 x US17-IL-111-006,US17-IL-111-006 x 2020-16738,57.8,83.3,131,36,1.1,0,0,503,99
4,29,4 x 29,29 x 4,504.9,IL16LCSDH-08-T-2663-55 x US17-IL-111-006,US17-IL-111-006 x IL16LCSDH-08-T-2663-55,59.1,83.3,131.3,36.8,1.2,0,0,512,99
8,22,8 x 22,22 x 8,490.3,IL16LCSDH-06-T-2661-17 x 19-6637,19-6637 x IL16LCSDH-06-T-2661-17,58.5,83.3,133.2,36.4,1.4,0,0,641,96
11,28,11 x 28,28 x 11,516.8,2020-6148 x 19-14617,19-14617 x 2020-6148,58.3,83.2,130.6,37.6,0.7,0,0,301,101
24,37,24 x 37,37 x 24,503,19-20348 x 16-23972,16-23972 x 19-20348,57.8,83.2,132,35.7,0.9,0,0,540,98
30,34,30 x 34,34 x 30,500.2,US17-IL-111-005 x 17-23904,17-23904 x US17-IL-111-005,57.9,83.2,131.3,36.5,1.4,0,0,573,98
8,20,8 x 20,20 x 8,496.8,IL16LCSDH-06-T-2661-17 x 2020-13902,2020-13902 x IL16LCSDH-06-T-2661-17,57.8,83.2,132.6,36.8,1,0,0,605,97
15,29,15 x 29,29 x 15,495.3,2020-1956 x US17-IL-111-006,US17-IL-111-006 x 2020-1956,57.6,83.2,131.8,36.4,1.2,0,0,616,97
8,14,8 x 14,14 x 8,491,IL16LCSDH-06-T-2661-17 x 2020-2010,2020-2010 x IL16LCSDH-06-T-2661-17,57.7,83.2,132.7,36.1,1.2,0,0,636,96
8,19,8 x 19,19 x 8,488.6,IL16LCSDH-06-T-2661-17 x 2020-14116,2020-14116 x IL16LCSDH-06-T-2661-17,57.8,83.2,133.3,36.9,1.3,0,0,646,95
27,28,27 x 28,28 x 27,527.9,19-14856 x 19-14617,19-14617 x 19-14856,58.1,83.1,129,36.2,0.5,0,1,27,103
27,30,27 x 30,30 x 27,517.2,19-14856 x US17-IL-111-005,US17-IL-111-005 x 19-14856,57.9,83.1,130,36.5,0.7,0,1,137,101
28,34,28 x 34,34 x 28,509.5,19-14617 x 17-23904,17-23904 x 19-14617,58.2,83.1,130.3,36.2,1.2,0,0,427,99
9,37,9 x 37,37 x 9,506.4,IL16LCSDH-01-T-863-58 x 16-23972,16-23972 x IL16LCSDH-01-T-863-58,58.7,83.1,132.7,35.8,0.6,0,0,481,99
8,31,8 x 31,31 x 8,491.6,IL16LCSDH-06-T-2661-17 x US16-IL-063-063,US16-IL-063-063 x IL16LCSDH-06-T-2661-17,57.8,83.1,132.4,35.5,1.4,0,0,632,96
13,28,13 x 28,28 x 13,512.2,2020-2334 x 19-14617,19-14617 x 2020-2334,57.8,83,129.9,36.7,0.9,0,0,368,100
11,37,11 x 37,37 x 11,504.9,2020-6148 x 16-23972,16-23972 x 2020-6148,58,83,132.3,37.2,0.8,0,0,510,99
13,30,13 x 30,30 x 13,499.1,2020-2334 x US17-IL-111-005,US17-IL-111-005 x 2020-2334,57.5,83,130.9,37,1.1,0,0,583,97
27,37,27 x 37,37 x 27,514.5,19-14856 x 16-23972,16-23972 x 19-14856,57.9,82.9,130.7,35.9,0.6,0,1,163,100
21,23,21 x 23,23 x 21,508,19-6704 x 19-21848,19-21848 x 19-6704,57.6,82.9,130.7,36.4,0.7,0,0,451,99
34,37,34 x 37,37 x 34,497.5,17-23904 x 16-23972,16-23972 x 17-23904,58,82.9,132,35.9,1.3,0,0,594,97
22,28,22 x 28,28 x 22,512,19-6637 x 19-14617,19-14617 x 19-6637,58.7,82.8,130.6,36,0.8,0,0,376,100
20,30,20 x 30,30 x 20,509.5,2020-13902 x US17-IL-111-005,US17-IL-111-005 x 2020-13902,57.7,82.8,130.9,36.7,0.6,0,0,430,99
21,33,21 x 33,33 x 21,505.6,19-6704 x 18-14535,18-14535 x 19-6704,57.6,82.8,130.9,36.3,0.7,0,0,494,99
21,25,21 x 25,25 x 21,504.7,19-6704 x 19-18153,19-18153 x 19-6704,57.9,82.8,131.6,36.7,0.8,0,0,514,99
