"","germplasmName","Stage","purdy.pedigree","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","merit","DON_AdvScb20","DON_AdvScb21","DON_PrScb20","DON_PrScb21","FDK_AdvScb20","FDK_AdvScb21","FDK_PrScb20","FDK_PrScb21","heading_AdvHYUrb20","heading_AdvNeo21","heading_AdvScb20","heading_AdvScb21","heading_AdvUrb20","heading_AdvUrb21","heading_PrNeo21","heading_PrScb20","heading_PrScb21","heading_PrUrb20","heading_PrUrb21","heading_YTNeo22","heading_YTUrb22","height_AdvHYUrb20","height_AdvNeo20","height_AdvNeo21","height_AdvUrb20","height_AdvUrb21","height_PrNeo20","height_PrNeo21","height_PrUrb20","height_PrUrb21","height_YTNeo22","height_YTUrb22","tw_AdvCar20","tw_AdvHYUrb20","tw_AdvNeo20","tw_AdvNeo21","tw_AdvScb20","tw_AdvStJ20","tw_AdvStj21","tw_AdvUrb20","tw_AdvUrb21","tw_PrCar20","tw_PrNeo20","tw_PrNeo21","tw_PrScb20","tw_PrStj20","tw_PrStj21","tw_PrUrb20","tw_PrUrb21","tw_YTBlv22","tw_YTNeo22","tw_YTStj22","tw_YTStp22","tw_YTUrb22","yield_AdvCar20","yield_AdvHYUrb20","yield_AdvNeo20","yield_AdvNeo21","yield_AdvStJ20","yield_AdvStj21","yield_AdvUrb20","yield_AdvUrb21","yield_PrCar20","yield_PrNeo20","yield_PrNeo21","yield_PrStj20","yield_PrStj21","yield_PrUrb20","yield_PrUrb21","yield_YTBlv22","yield_YTNeo22","yield_YTStj22","yield_YTStp22","yield_YTUrb22","sbmv22","lgiWt","sincWt","mincWt"
"1170","IL2021-41676",1,"12-8545/14-28462//12-17257",59.1534095787705,75.565243390215,131.615307173801,35.3508833060269,1.51714929546161,18.4458847128746,443.73510862709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.8398842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9169611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.93828475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.86273838,NA,0,7.05,0
"1171","IL2021-41716",1,"12-8545/14-28462//12-17257",59.1950250730163,84.9428104175924,133.917045875003,38.3256234799309,1.45282673126009,17.5085989316241,483.618510094552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.3549042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4799314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.0229939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.8848738,NA,0,6.67,0
"1172","IL2021-41718",1,"12-8545/14-28462//12-17257",58.9738175572275,80.3097483020181,131.968463480998,36.8162210855365,0.821903329011107,7.89147169435355,485.468632823875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.0645602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.12373412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.64614782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.88825044,NA,0,5.08,0
"1173","IL2021-41721",1,"12-8545/14-28462//12-17257",59.1916448822688,89.7842435113326,131.960189817461,35.5814468135492,1.76178534557617,23.6113396589194,510.857133894757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.9552682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.72906843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.11006724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.8961228,NA,0,7.02,0
"1174","IL2021-41727",1,"12-8545/14-28462//12-17257",58.9253635173695,87.4642022508022,133.716102247542,37.3200634042009,1.69871267076164,20.9843349103154,491.723718307601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.1070945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.60588582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.66716835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.66729,NA,0,6.96,0
"1175","IL2021-41738",1,"12-8545/14-28462//12-17257",59.1485479561252,89.1902286577171,133.081013880008,36.8736271199647,0.679999990609871,4.93011823303936,534.123714740416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.2946001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.69822396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.02851062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.5994622,NA,0,5.78,0
"1176","IL2021-41914",1,"14-11772/07-20728//12-8512",60.3874963128901,84.7442899466773,132.745205299632,37.1841681674133,0.698444936530234,8.7461658679412,507.737073068453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.9927365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.36172499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.92509885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.5874203,NA,0,7.33,0
"1177","IL2021-41921",1,"14-11772/07-20728//14-28462",59.6530298457121,83.1042726608073,132.82104881691,38.4893340475417,1.14268894598324,11.1065293137775,489.073177618921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.000853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.10205363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.69575322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8603252,NA,0,3.48,0
"1178","IL2021-41972",1,"14-11772/07-20728//14-28462",59.481355704044,79.6696724398951,133.198645607812,37.4871314599792,1.14964020763767,10.8917678824847,467.923832416796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.6314093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.06332769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.44177905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.25664469,NA,0,7.72,0
"1179","IL2021-41976",1,"14-11772/07-20728//14-28462",59.4639789225166,84.8921914282763,132.77317200001,39.4909871620116,1.11829333662778,9.51708871405408,500.768635348679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.8273426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.88394696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.35422288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2457054,NA,0,6.12,0
"1180","IL2021-42001",1,"14-11772/07-20728//14-28462",59.7000833360511,84.2852813348702,133.076908424218,37.643065121335,1.58993382688173,22.0778902400684,479.286939211311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.368786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.29244699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.79505714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.3370263,NA,0,7.79,0
"1181","IL2021-42041",1,"14-11772/14-11830//14-3934",59.5767261920641,80.2470533864216,133.628157171614,38.5056273016839,0.922238485649118,11.0275444804764,472.323091648316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.0925747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.95383206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.55018892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.90373729,NA,0,7.51,0
"1182","IL2021-42045",1,"14-11772/14-11830//14-3934",58.6887574568791,91.808787714597,133.674272090442,37.493144365885,1.10935276594135,16.7533767495877,529.204954385491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.9356976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.93641522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.33046932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.907477,NA,0,5.25,0
"1183","IL2021-42056",1,"14-11772/14-11830//14-3934",59.5502747570584,85.7356531465294,134.010006375067,39.1094503432797,0.948421739232378,11.9443155756229,499.887448590876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.4138944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.85562458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.55124162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.9760862,NA,0,7.36,0
"1184","IL2021-42061",1,"14-11772/14-11830//14-3934",59.5571856412695,80.318994615282,133.927761508991,37.9168803419022,1.35744606777794,17.6865562559635,459.801355297276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.7146027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.73189927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.00672217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.75852237,NA,NA,NA,NA,0,6.92,0
"1185","IL2021-42064",1,"14-11772/14-11830//14-3934",58.0321109005638,85.5329186409291,134.388863049245,37.5340037395932,1.30780024103878,18.6315230015931,485.937838059907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.9733747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.99292375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.27031435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.5103021,NA,0,5.53,0
